ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20260326,55.4,55.54,54.22,54.26,55.39,-1.13,-2.0401,92618.05,507810.277
000538.SZ,20260327,54.0,54.45,53.9,54.4,54.26,0.14,0.258,57628.25,312696.919
000538.SZ,20260330,54.04,54.75,53.91,54.75,54.4,0.35,0.6434,54502.53,296589.89
000538.SZ,20260331,54.81,55.43,54.8,54.86,54.75,0.11,0.2009,55069.38,303352.204
000538.SZ,20260401,55.73,56.08,55.31,55.57,54.86,0.71,1.2942,93037.9,517764.123
000538.SZ,20260402,55.61,56.96,55.5,56.78,55.57,1.21,2.1774,136153.89,769457.672
000538.SZ,20260403,56.63,57.2,56.32,56.46,56.78,-0.32,-0.5636,74177.03,420336.954
000538.SZ,20260407,56.33,56.46,55.5,55.91,56.46,-0.55,-0.9741,59108.3,330501.621
000538.SZ,20260408,56.0,56.2,55.8,55.94,55.91,0.03,0.0537,74007.68,413979.737
000538.SZ,20260409,55.83,55.89,55.06,55.1,55.94,-0.84,-1.5016,68577.16,379540.351
000538.SZ,20260410,55.11,55.23,54.88,54.92,55.1,-0.18,-0.3267,75831.17,417209.136
000538.SZ,20260413,54.81,54.89,54.4,54.73,54.92,-0.19,-0.346,71548.21,390626.719
000538.SZ,20260414,54.98,55.07,54.71,55.05,54.73,0.32,0.5847,52725.33,289644.477
000538.SZ,20260415,55.27,55.81,55.14,55.72,55.05,0.67,1.2171,78296.51,434587.034
000538.SZ,20260416,55.68,55.72,55.33,55.52,55.72,-0.2,-0.3589,49072.69,272295.379
000538.SZ,20260417,55.4,55.68,55.12,55.29,55.52,-0.23,-0.4143,66865.78,370502.852
000538.SZ,20260420,55.19,55.34,55.0,55.0,55.29,-0.29,-0.5245,67312.41,371071.143
000538.SZ,20260421,55.0,55.21,54.9,55.06,55.0,0.06,0.1091,44212.68,243331.726
000538.SZ,20260422,55.06,55.06,54.46,54.48,55.06,-0.58,-1.0534,84748.11,463438.721
000538.SZ,20260423,54.46,54.65,54.24,54.28,54.48,-0.2,-0.3671,65981.47,358767.991
000538.SZ,20260424,54.45,54.63,54.28,54.43,54.28,0.15,0.2763,73851.54,402022.553
000538.SZ,20260427,54.43,54.45,54.02,54.29,54.43,-0.14,-0.2572,74765.46,405598.18
000538.SZ,20260428,54.3,54.85,54.2,54.84,54.29,0.55,1.0131,100252.65,546035.405
000538.SZ,20260429,54.5,54.79,54.22,54.63,54.84,-0.21,-0.3829,86082.84,469866.638
000538.SZ,20260430,53.78,53.78,53.03,53.05,53.05,0.0,0.0,148202.52,789561.909
000538.SZ,20260506,53.06,53.07,52.61,52.65,53.05,-0.4,-0.754,123359.81,651142.617
000538.SZ,20260507,52.7,52.93,52.59,52.6,52.65,-0.05,-0.095,79480.66,418448.486
000538.SZ,20260508,52.61,52.67,52.53,52.62,52.6,0.02,0.038,71385.84,375449.084
000538.SZ,20260511,52.62,52.85,52.48,52.62,52.62,0.0,0.0,104575.05,550281.969
000538.SZ,20260512,52.64,52.89,51.81,51.81,52.62,-0.81,-1.5393,98717.89,517276.121
000538.SZ,20260513,52.05,52.09,51.56,51.65,51.81,-0.16,-0.3088,102335.26,529688.936
000538.SZ,20260514,51.66,51.89,51.36,51.5,51.65,-0.15,-0.2904,71555.51,368860.475
000538.SZ,20260515,51.4,51.5,50.8,50.9,51.5,-0.6,-1.165,79492.45,406401.355
000538.SZ,20260518,50.91,50.99,50.65,50.86,50.9,-0.04,-0.0786,50957.32,258647.364
000538.SZ,20260519,50.72,51.23,50.72,50.88,50.86,0.02,0.0393,57210.68,291408.378
000538.SZ,20260520,50.84,51.06,50.68,50.78,50.88,-0.1,-0.1965,47688.57,242625.09
000538.SZ,20260521,50.86,50.88,50.12,50.13,50.78,-0.65,-1.28,68305.25,345547.449
000538.SZ,20260522,50.16,50.25,49.8,49.8,50.13,-0.33,-0.6583,63073.4,314679.7
000538.SZ,20260525,49.74,49.9,49.33,49.47,49.8,-0.33,-0.6627,60098.88,297899.793
000538.SZ,20260526,49.32,49.73,48.66,48.85,49.47,-0.62,-1.2533,90180.98,442285.283
000538.SZ,20260527,48.87,49.8,48.02,49.73,48.85,0.88,1.8014,126706.65,617384.98
000538.SZ,20260528,49.08,49.87,48.74,48.82,49.73,-0.91,-1.8299,101725.29,500714.218
000538.SZ,20260529,48.99,50.11,48.86,49.94,48.82,1.12,2.2941,174667.52,866198.961
000538.SZ,20260601,49.98,50.09,49.41,49.82,49.94,-0.12,-0.2403,110358.79,548600.966
000538.SZ,20260602,49.8,50.43,49.32,49.46,49.82,-0.36,-0.7226,98445.78,489977.56
000538.SZ,20260603,49.46,49.46,48.74,49.15,49.46,-0.31,-0.6268,88439.24,433204.778
000538.SZ,20260604,49.13,49.45,48.46,48.6,49.15,-0.55,-1.119,72247.53,352907.957
000538.SZ,20260605,48.6,49.48,48.6,48.81,48.6,0.21,0.4321,94070.93,461177.307
000538.SZ,20260608,48.9,49.76,48.72,49.5,48.81,0.69,1.4136,109996.49,542515.056
000538.SZ,20260609,49.19,50.0,49.15,49.42,49.5,-0.08,-0.1616,78101.91,387658.63066
000538.SZ,20260610,49.38,50.26,49.3,50.14,49.42,0.72,1.4569,88842.96,443869.65117
000538.SZ,20260611,50.05,50.71,49.8,50.55,50.14,0.41,0.8177,90092.53,453788.8914
000538.SZ,20260612,50.52,51.28,50.1,50.6,50.55,0.05,0.0989,136998.08,694467.76416
000538.SZ,20260615,50.62,50.62,49.7,50.15,50.6,-0.45,-0.8893,111858.63,559754.61424
000538.SZ,20260616,49.9,50.04,49.41,49.41,50.15,-0.74,-1.4756,60470.72,300036.34224
000538.SZ,20260617,49.42,49.45,48.85,48.91,49.41,-0.5,-1.0119,60549.51,297028.52031
000538.SZ,20260618,48.9,49.05,48.43,48.43,48.91,-0.48,-0.9814,76871.2,374332.61194
000538.SZ,20260622,48.33,48.73,47.46,48.66,48.43,0.23,0.4749,120381.35,577585.3617
000538.SZ,20260623,48.56,49.47,48.32,48.53,48.66,-0.13,-0.2672,111032.46,542371.30203
000538.SZ,20260624,48.53,49.2,47.49,47.63,48.53,-0.9,-1.8545,106679.43,514086.27392
000538.SZ,20260625,47.48,47.69,46.64,47.15,47.63,-0.48,-1.0078,106196.39,499966.54882
000538.SZ,20260626,47.14,47.48,46.67,47.0,47.15,-0.15,-0.3181,76739.6,361281.01173
000538.SZ,20260629,46.93,48.57,46.29,48.53,47.0,1.53,3.2553,133541.49,639157.51039
