ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20250930,57.36,57.38,56.75,56.75,57.36,-0.61,-1.0635,78819.68,448363.513
000538.SZ,20251009,56.78,57.35,56.18,57.34,56.75,0.59,1.0396,116147.7,659843.032
000538.SZ,20251010,57.37,57.84,57.1,57.33,57.34,-0.01,-0.0174,93191.02,535409.001
000538.SZ,20251013,56.56,57.0,56.55,56.75,57.33,-0.58,-1.0117,93711.16,531515.089
000538.SZ,20251014,56.76,57.75,56.56,57.12,56.75,0.37,0.652,123376.5,704860.427
000538.SZ,20251015,57.12,57.48,56.77,57.19,57.12,0.07,0.1225,96936.68,553320.413
000538.SZ,20251016,57.12,57.86,57.0,57.71,57.19,0.52,0.9092,98758.53,568793.923
000538.SZ,20251017,57.66,57.95,57.0,57.06,57.71,-0.65,-1.1263,89557.81,514518.491
000538.SZ,20251020,57.2,57.34,56.45,56.63,57.06,-0.43,-0.7536,97993.39,555564.978
000538.SZ,20251021,56.65,56.82,56.5,56.62,56.63,-0.01,-0.0177,74189.32,420080.725
000538.SZ,20251022,56.58,56.7,56.28,56.45,56.62,-0.17,-0.3002,72296.89,408225.229
000538.SZ,20251023,56.38,56.57,56.21,56.57,56.45,0.12,0.2126,55480.94,312830.609
000538.SZ,20251024,56.56,56.65,56.31,56.36,56.57,-0.21,-0.3712,68061.08,384218.455
000538.SZ,20251027,56.39,56.6,56.29,56.47,56.36,0.11,0.1952,78324.78,442309.961
000538.SZ,20251028,56.55,56.57,56.08,56.1,56.47,-0.37,-0.6552,100090.96,563392.732
000538.SZ,20251029,56.1,56.35,56.0,56.35,56.1,0.25,0.4456,58291.39,327239.567
000538.SZ,20251030,56.4,56.88,56.17,56.48,56.35,0.13,0.2307,107740.91,609326.392
000538.SZ,20251031,56.2,56.86,55.9,56.66,56.48,0.18,0.3187,138535.97,781632.371
000538.SZ,20251103,56.75,56.91,56.28,56.36,56.66,-0.3,-0.5295,106511.01,601437.306
000538.SZ,20251104,56.36,56.38,55.86,55.93,56.36,-0.43,-0.763,91988.1,515825.501
000538.SZ,20251105,55.89,55.94,55.6,55.87,55.93,-0.06,-0.1073,61623.66,343937.641
000538.SZ,20251106,55.9,56.07,55.74,55.88,55.87,0.01,0.0179,63660.71,356021.979
000538.SZ,20251107,55.84,56.3,55.71,56.03,55.88,0.15,0.2684,71223.73,399290.983
000538.SZ,20251110,56.07,57.39,55.96,57.28,56.03,1.25,2.2309,146924.27,834808.208
000538.SZ,20251111,57.09,57.25,56.9,57.22,57.28,-0.06,-0.1047,68822.32,392927.064
000538.SZ,20251112,57.3,57.66,57.08,57.12,57.22,-0.1,-0.1748,82645.72,473398.519
000538.SZ,20251113,57.18,57.25,56.71,57.06,57.12,-0.06,-0.105,82840.82,471252.806
